X_mm,Y_mm
93.32400000000001,294.112
92.92,293.708
92.516,293.708
92.11200000000001,293.708
91.70800000000001,293.708
91.304,293.708
90.9,293.708
90.49600000000001,293.708
90.092,293.708
89.688,293.708
89.284,293.708
88.88000000000001,293.708
88.476,293.708
88.072,293.30400000000003
87.668,293.30400000000003
87.26400000000001,293.30400000000003
86.86,293.30400000000003
86.456,293.30400000000003
86.052,293.30400000000003
85.64800000000001,293.30400000000003
85.244,293.30400000000003
84.84,293.30400000000003
84.436,293.30400000000003
84.03200000000001,292.90000000000003
83.628,292.90000000000003
83.224,292.90000000000003
82.82000000000001,292.90000000000003
82.41600000000001,292.90000000000003
82.012,292.90000000000003
81.608,292.49600000000004
81.20400000000001,292.49600000000004
80.80000000000001,292.49600000000004
80.396,292.49600000000004
79.992,292.49600000000004
79.58800000000001,292.49600000000004
79.18400000000001,292.09200000000004
78.78,292.09200000000004
78.376,292.09200000000004
77.97200000000001,292.09200000000004
77.56800000000001,292.09200000000004
77.164,292.09200000000004
76.76,291.68800000000005
76.35600000000001,291.68800000000005
75.952,291.68800000000005
75.548,291.68800000000005
75.144,291.68800000000005
74.74000000000001,291.284
74.336,291.284
73.932,291.284
73.528,291.284
73.12400000000001,290.88
72.72,290.88
72.316,290.88
71.912,290.88
71.50800000000001,290.88
71.104,290.476
70.7,290.476
70.296,290.476
69.89200000000001,290.476
69.488,290.072
69.084,290.072
68.68,290.072
68.27600000000001,290.072
67.872,289.668
67.468,289.668
67.06400000000001,289.668
66.66000000000001,289.264
66.256,289.264
65.852,289.264
65.44800000000001,289.264
65.04400000000001,288.86
64.64,288.86
64.236,288.86
63.832,288.456
63.428000000000004,288.456
63.024,288.456
62.620000000000005,288.052
62.216,288.052
61.812000000000005,288.052
61.408,287.648
61.004000000000005,287.648
60.6,287.648
60.196000000000005,287.244
59.792,287.244
59.388000000000005,287.244
58.984,286.84000000000003
58.580000000000005,286.84000000000003
58.176,286.84000000000003
57.772000000000006,286.43600000000004
57.368,286.43600000000004
56.964000000000006,286.43600000000004
56.56,286.03200000000004
56.156000000000006,286.03200000000004
55.752,286.03200000000004
55.348000000000006,285.62800000000004
54.944,285.62800000000004
54.540000000000006,285.22400000000005
54.136,285.22400000000005
53.732000000000006,285.22400000000005
53.328,284.82
52.92400000000001,284.82
52.52,284.416
52.11600000000001,284.416
51.712,284.012
51.308,284.012
50.904,284.012
50.5,283.608
50.096000000000004,283.608
49.692,283.608
49.288000000000004,283.204
48.884,283.204
48.480000000000004,282.8
48.076,282.8
47.672000000000004,282.396
47.268,282.396
46.864000000000004,281.992
46.46,281.992
46.056000000000004,281.588
45.652,281.588
45.248000000000005,281.184
44.844,281.184
44.440000000000005,280.78000000000003
44.036,280.78000000000003
43.632000000000005,280.37600000000003
43.228,280.37600000000003
42.824000000000005,279.97200000000004
42.42,279.97200000000004
42.016000000000005,279.56800000000004
41.612,279.56800000000004
41.208000000000006,279.16400000000004
40.804,279.16400000000004
40.400000000000006,278.76
39.996,278.76
39.592000000000006,278.356
39.188,277.952
38.784000000000006,277.952
38.38,277.548
37.976,277.144
37.572,277.144
37.168,276.74
36.764,276.336
36.36,276.336
35.956,275.932
35.552,275.528
35.148,275.528
34.744,275.124
34.34,274.72
33.936,274.31600000000003
33.532000000000004,274.31600000000003
33.128,273.91200000000003
32.724000000000004,273.50800000000004
32.32,273.50800000000004
31.916,273.10400000000004
31.512,272.70000000000005
31.108,272.296
30.704,271.892
30.3,271.892
29.896,271.488
29.492,271.084
29.088,270.68
28.684,270.276
28.28,270.276
27.876,269.872
27.472,269.468
27.068,269.064
26.664,268.66
26.26,268.66
25.856,268.25600000000003
25.452,267.85200000000003
25.048000000000002,267.44800000000004
24.644000000000002,267.04400000000004
24.240000000000002,266.64000000000004
23.836000000000002,266.236
23.432000000000002,265.832
23.028000000000002,265.428
22.624000000000002,265.024
22.220000000000002,264.62
21.816000000000003,264.62
21.412000000000003,264.216
21.008000000000003,263.812
20.604000000000003,263.408
20.200000000000003,263.004
19.796000000000003,262.6
19.392000000000003,262.196
18.988,261.79200000000003
18.584,261.38800000000003
18.18,260.98400000000004
17.776,260.58000000000004
17.372,260.17600000000004
17.372,259.772
16.968,259.368
16.564,258.964
16.16,258.56
15.756,258.156
15.352,257.752
14.948,257.348
14.544,256.944
14.14,256.54
13.736,256.136
13.736,255.73200000000003
13.332,255.328
12.928,254.924
12.524000000000001,254.52
12.120000000000001,254.116
11.716000000000001,253.71200000000002
11.716000000000001,253.30800000000002
11.312000000000001,252.90400000000002
10.908000000000001,252.50000000000003
10.504000000000001,252.096
10.100000000000001,251.692
10.100000000000001,251.288
9.696000000000002,250.88400000000001
9.292,250.48000000000002
9.292,250.07600000000002
8.888,249.67200000000003
8.484,249.26800000000003
8.484,248.864
8.08,248.46
7.676,248.056
7.676,247.65200000000002
7.272,247.24800000000002
6.868,246.84400000000002
6.868,246.44000000000003
6.464,246.03600000000003
6.464,245.632
6.0600000000000005,245.228
6.0600000000000005,244.824
5.656000000000001,244.42000000000002
5.656000000000001,244.01600000000002
5.252000000000001,243.61200000000002
5.252000000000001,243.20800000000003
4.848000000000001,242.804
4.848000000000001,242.4
4.444,241.996
4.444,241.592
4.04,241.18800000000002
4.04,240.78400000000002
4.04,240.38000000000002
3.636,239.97600000000003
3.636,239.572
3.636,239.168
3.232,238.764
3.232,238.36
2.8280000000000003,237.95600000000002
2.8280000000000003,237.55200000000002
2.8280000000000003,237.14800000000002
2.4240000000000004,236.74400000000003
2.4240000000000004,236.34
2.4240000000000004,235.936
2.02,235.532
2.02,235.12800000000001
2.02,234.72400000000002
2.02,234.32000000000002
1.616,233.91600000000003
1.616,233.51200000000003
1.616,233.108
1.616,232.704
1.2120000000000002,232.3
1.2120000000000002,231.89600000000002
1.2120000000000002,231.49200000000002
1.2120000000000002,231.08800000000002
0.808,230.68400000000003
0.808,230.28
0.808,229.876
0.808,229.472
0.808,229.068
0.808,228.66400000000002
0.404,228.26000000000002
0.404,227.85600000000002
